date,AI,Blockchain
2024-11-13,80,1
2024-11-14,79,1
2024-11-15,70,1
2024-11-16,67,1
2024-11-17,68,1
2024-11-18,82,1
2024-11-19,80,1
2024-11-20,81,1
2024-11-21,79,1
2024-11-22,73,1
2024-11-23,69,1
2024-11-24,67,1
2024-11-25,76,1
2024-11-26,78,1
2024-11-27,72,1
2024-11-28,70,1
2024-11-29,66,1
2024-11-30,68,1
2024-12-01,71,1
2024-12-02,79,1
2024-12-03,79,1
2024-12-04,77,1
2024-12-05,77,1
2024-12-06,71,1
2024-12-07,69,1
2024-12-08,72,1
2024-12-09,80,1
2024-12-10,81,1
2024-12-11,82,1
2024-12-12,93,1
2024-12-13,78,1
2024-12-14,68,1
2024-12-15,69,1
2024-12-16,74,1
2024-12-17,77,1
2024-12-18,79,1
2024-12-19,76,1
2024-12-20,71,1
2024-12-21,71,1
2024-12-22,64,1
2024-12-23,63,1
2024-12-24,68,1
2024-12-25,70,1
2024-12-26,72,1
2024-12-27,65,1
2024-12-28,67,1
2024-12-29,63,1
2024-12-30,66,1
2024-12-31,65,1
2025-01-01,62,1
2025-01-02,71,1
2025-01-03,69,1
2025-01-04,72,1
2025-01-05,66,1
2025-01-06,83,1
2025-01-07,79,1
2025-01-08,75,1
2025-01-09,76,1
2025-01-10,81,1
2025-01-11,69,1
2025-01-12,69,1
2025-01-13,80,1
2025-01-14,78,1
2025-01-15,82,1
2025-01-16,76,1
2025-01-17,76,1
2025-01-18,72,1
2025-01-19,73,1
2025-01-20,75,1
2025-01-21,78,1
2025-01-22,86,1
2025-01-23,91,1
2025-01-24,79,1
2025-01-25,76,1
2025-01-26,70,1
2025-01-27,93,1
2025-01-28,100,1
2025-01-29,95,1
2025-01-30,93,1
2025-01-31,87,1
2025-02-01,83,1
2025-02-02,84,1
2025-02-03,90,1
2025-02-04,92,1
2025-02-05,89,1
2025-02-06,93,1
2025-02-07,86,1
2025-02-08,82,1
2025-02-09,82,1
2025-02-10,89,1
2025-02-11,91,1
2025-02-12,89,1
2025-02-13,95,1
