date,AI,software,machine
2024-02-11,62,19,30
2024-02-18,66,20,31
2024-02-25,61,19,32
2024-03-03,63,18,30
2024-03-10,61,19,30
2024-03-17,61,19,30
2024-03-24,63,18,30
2024-03-31,59,18,30
2024-04-07,61,18,29
2024-04-14,66,18,29
2024-04-21,62,18,28
2024-04-28,63,16,30
2024-05-05,63,17,29
2024-05-12,66,17,28
2024-05-19,68,17,30
2024-05-26,66,16,30
2024-06-02,68,18,28
2024-06-09,71,18,32
2024-06-16,65,17,30
2024-06-23,58,18,29
2024-06-30,59,17,29
2024-07-07,64,17,31
2024-07-14,61,18,31
2024-07-21,62,18,30
2024-07-28,62,17,29
2024-08-04,66,16,30
2024-08-11,67,18,30
2024-08-18,71,18,31
2024-08-25,71,18,29
2024-09-01,69,18,30
2024-09-08,71,18,30
2024-09-15,74,18,31
2024-09-22,74,18,31
2024-09-29,75,18,30
2024-10-06,75,17,31
2024-10-13,78,17,32
2024-10-20,76,17,31
2024-10-27,80,17,31
2024-11-03,84,17,30
2024-11-10,81,18,32
2024-11-17,86,17,33
2024-11-24,77,17,34
2024-12-01,83,18,32
2024-12-08,83,17,33
2024-12-15,78,16,32
2024-12-22,72,14,33
2024-12-29,73,16,33
2025-01-05,83,18,34
2025-01-12,84,19,32
2025-01-19,88,19,31
2025-01-26,99,18,31
2025-02-02,100,20,35
2025-02-09,95,19,31
